fuel_type,body_type,kilometer,transmission_type,owner_no,brand,model,model_year,price,registration_year,seats_count,RDO_no,car_engine_cc,mileage,color,gear_box,location,age
Diesel,Sedan,80000,Automatic,2,BMW,BMW 3 Series,2008,600000.0,2008,5,TN09,1995,13.2,Others,6,bangalore,15
Petrol,SUV,30000,Automatic,1,Jeep,Jeep Compass,2021,2450000.0,2021,5,KA20,1368,14.1,Others,7,bangalore,2
Petrol,SUV,20000,Automatic,1,Kia,Kia Seltos,2020,1625000.0,2020,5,KA03,1353,16.5,Others,7,bangalore,3
Diesel,Sedan,36349,Automatic,1,Skoda,Skoda Superb,2014,1650000.0,2014,3,,1968,17.2,White,6,bangalore,9
Petrol,Hatchback,80000,Manual,3,Hyundai,Hyundai i10,2009,249000.00000000003,2009,5,,1197,20.36,Others,5,bangalore,14
Petrol,SUV,83394,Manual,2,Renault,Renault Duster,2014,630000.0,2014,8,,1598,13.24,Red,5,bangalore,9
Diesel,SUV,30000,Automatic,2,Audi,Audi Q5,2016,2599000.0,2016,5,KA01,1968,14.16,Others,7,bangalore,7
Petrol,Hatchback,80000,Manual,3,Hyundai,Hyundai i10,2009,249000.00000000003,2009,5,,1197,20.36,Others,5,bangalore,14
Petrol,Hatchback,52204,Manual,1,Maruti,Maruti Alto K10,2017,385000.0,2017,5,KA13,998,24.39,Silver,5,bangalore,6
Petrol,Hatchback,110000,Manual,3,Hyundai,Hyundai i20,2012,300000.0,2012,5,KA53,1197,17.0,Red,5,bangalore,11
Diesel,SUV,89000,Automatic,1,Ford,Ford Endeavour,2017,2975000.0,2017,7,KA19,3198,10.91,Black,6,bangalore,6
Petrol,Hatchback,29813,Manual,2,Maruti,Maruti Alto 800,2014,276000.0,2014,5,KA53,796,22.05,Others,5,bangalore,9
Petrol,Hatchback,30000,Manual,1,Ford,Ford Figo,2018,500000.0,2018,5,,1196,18.16,Gray,5,bangalore,5
Petrol,Hatchback,13345,Automatic,1,Maruti,Maruti Ignis,2020,730000.0,2020,5,KA01,1197,20.89,White,5,bangalore,3
Diesel,SUV,17100,Automatic,1,Hyundai,Hyundai Alcazar,2022,2245000.0,2022,7,KA53,1498,18.1,Grey,6,bangalore,1
Petrol,Hatchback,75000,Manual,1,Hyundai,Hyundai Grand i10,2014,399000.0,2014,5,KA05,1197,18.9,Grey,5,bangalore,9
Petrol,Hatchback,75523,Manual,2,Hyundai,Hyundai i10,2011,312000.0,2011,5,KA51,1197,20.36,Red,5,bangalore,12
Diesel,SUV,47000,Manual,1,Mahindra,Mahindra XUV500,2015,1275000.0,2015,7,KA01,2179,16.0,Silver,6,bangalore,8
Diesel,SUV,36500,Manual,1,Tata,Tata Harrier,2022,1989999.9999999998,2022,5,KA03,1956,16.35,White,6,bangalore,1
